نام خودرو,وضعیت,سال,قیمت (تومان),قیمت عددی
سانگ یانگ رکستون G4,کارکرده,نامشخص,"4,375,000,000",4375000000
کیا اپتیما مدل ۲۰۲۳,صفر کیلومتر,نامشخص,"4,300,000,000",4300000000
بنز E کلاس مدل ۲۰۰۹-۲۰۱۳,کارکرده,نامشخص,"4,275,000,000",4275000000
فولکس واگن تی راک ۲۰۲۴,صفر کیلومتر,2024,"4,220,000,000",4220000000
کیا اپتیما هیبرید مدل ۲۰۱۸,صفر کیلومتر,2018,"4,200,000,000",4200000000
کیا اپتیما مدل ۲۰۱۶-۲۰۱۷,صفر کیلومتر,2017,"4,200,000,000",4200000000
لکسوس GS مدل ۲۰۰۸-۲۰۱۰,کارکرده,نامشخص,"4,175,000,000",4175000000
بی وای دی سانگ پلاس,صفر کیلومتر,نامشخص,"4,170,000,000",4170000000
لوکانو ۸,صفر کیلومتر,نامشخص,"4,170,000,000",4170000000
تویوتا پرادو ۴ در مدل ۲۰۰۵-۲۰۱۰,کارکرده,نامشخص,"4,125,000,000",4125000000
نیسان قشقایی آنر,صفر کیلومتر,نامشخص,"4,100,000,000",4100000000
مینی کانتریمن,کارکرده,2018,"4,100,000,000",4100000000
لکسوس IS مدل ۲۰۱۴-۲۰۱۵,کارکرده,نامشخص,"4,075,000,000",4075000000
بنز C کلاس مدل ۲۰۱۲-۲۰۱۴,کارکرده,نامشخص,"4,075,000,000",4075000000
اکستریم TXL,صفر کیلومتر,نامشخص,"4,070,000,000",4070000000
تویوتا کمری مدل ۲۰۱۵,کارکرده,نامشخص,"4,055,000,000",4055000000
هاوال H9,کارکرده,نامشخص,"4,045,000,000",4045000000
تویوتا کرولا کراس,صفر کیلومتر,نامشخص,"4,010,000,000",4010000000
بی ام و سری ۵ مدل ۲۰۱۱-۲۰۱۶,کارکرده,نامشخص,"3,980,000,000",3980000000
بی ام و سری ۲ اکتیو تورر,کارکرده,نامشخص,"3,880,000,000",3880000000
بی ام و X3 مدل ۲۰۱۱-۲۰۱۷,کارکرده,نامشخص,"3,880,000,000",3880000000
مزدا ۳ ۲۰۲۵,صفر کیلومتر,2025,"3,850,000,000",3850000000
مکسوس استار H,صفر کیلومتر,نامشخص,"3,800,000,000",3800000000
هیوندای سنتنیال,کارکرده,نامشخص,"3,780,000,000",3780000000
بی ام و سری ۷ مدل ۲۰۰۸-۲۰۱۱,کارکرده,نامشخص,"3,780,000,000",3780000000
کیا کادنزا مدل ۲۰۱۴,کارکرده,نامشخص,"3,780,000,000",3780000000
هیوندای سوناتا LF هیبریدی,صفر کیلومتر,نامشخص,"3,762,000,000",3762000000
هیوندای توسان مدل ۲۰۱۶-۲۰۱۸,صفر کیلومتر,2018,"3,750,000,000",3750000000
فولکس واگن بیتل کروک مدل ۲۰۱۳,کارکرده,نامشخص,"3,730,000,000",3730000000
بنز ML,کارکرده,نامشخص,"3,680,000,000",3680000000
بی ام و سری ۲ کوپه,کارکرده,نامشخص,"3,680,000,000",3680000000
تویوتا اریون مدل ۲۰۱۲-۲۰۱۳,کارکرده,نامشخص,"3,680,000,000",3680000000
کیا سراتو GT لاین,صفر کیلومتر,نامشخص,"3,660,000,000",3660000000
تویوتا کمری هیبریدی مدل ۲۰۱۵-۲۰۱۶,کارکرده,نامشخص,"3,530,000,000",3530000000
هیوندای کونا,صفر کیلومتر,نامشخص,"3,525,000,000",3525000000
نیسان قشقایی ۲۰۲۳,صفر کیلومتر,2023,"3,500,000,000",3500000000
بی ام و Z4,کارکرده,نامشخص,"3,480,000,000",3480000000
هیوندای النترا مدل ۲۰۱۷-۲۰۱۸,صفر کیلومتر,1397,"3,470,000,000",3470000000
تیگو ۸ پرو هیبرید,صفر کیلومتر,نامشخص,"3,420,000,000",3420000000
کیا سلتوس,صفر کیلومتر,2023,"3,400,000,000",3400000000
کیا اسپورتیج مدل ۲۰۱۷-۲۰۱۸,صفر کیلومتر,2018,"3,380,000,000",3380000000
هوندا وزل,صفر کیلومتر,نامشخص,"3,350,000,000",3350000000
میتسوبیشی پاجرو ۴ در,کارکرده,نامشخص,"3,330,000,000",3330000000
کیا سراتو مدل ۲۰۱۷-۲۰۱۸,صفر کیلومتر,2018,"3,300,000,000",3300000000
هونگچی H5,صفر کیلومتر,نامشخص,"3,300,000,000",3300000000
هیوندای النترا مونتاژ,صفر کیلومتر,نامشخص,"3,300,000,000",3300000000
رنو آرکانا,صفر کیلومتر,نامشخص,"3,270,000,000",3270000000
فیدلیتی پرستیژ,صفر کیلومتر,نامشخص,"3,250,000,000",3250000000
فونیکس تیگو ۸ پرومکس,صفر کیلومتر,نامشخص,"3,202,000,000",3202000000
اشکودا سوپرب,صفر کیلومتر,2024,"3,200,000,000",3200000000
پژو ۵۰۸,صفر کیلومتر,2017,"3,200,000,000",3200000000
فولکس واگن ID.4,صفر کیلومتر,2024,"3,200,000,000",3200000000
فیات ۵۰۰,صفر کیلومتر,نامشخص,"3,200,000,000",3200000000
نیسان سیلفی پلاگین هایبرید,صفر کیلومتر,نامشخص,"3,200,000,000",3200000000
آریزو ۸,صفر کیلومتر,1403,"3,110,000,000",3110000000
میتسوبیشی لنسر مدل ۲۰۱۴-۲۰۱۸,صفر کیلومتر,2018,"3,084,000,000",3084000000
بنز CLS مدل ۲۰۰۶-۲۰۱۰,کارکرده,نامشخص,"3,080,000,000",3080000000
فونیکس تیگو ۸ پرو,صفر کیلومتر,نامشخص,"3,073,000,000",3073000000
سوزوکی گرند ویتارا هیبرید,صفر کیلومتر,2024,"3,070,000,000",3070000000
کی ام سی T9,صفر کیلومتر,نامشخص,"3,070,000,000",3070000000
سانگ‌ یانگ کوراندو ۲۰۲۳,صفر کیلومتر,نامشخص,"3,050,000,000",3050000000
پیکاپ G9,صفر کیلومتر,نامشخص,"3,020,000,000",3020000000
تویوتا هایلوکس مدل ۲۰۱۲-۲۰۱۵,کارکرده,نامشخص,"3,000,000,000",3000000000
گک امکو,صفر کیلومتر,نامشخص,"3,000,000,000",3000000000
میتسوبیشی ASX مدل ۲۰۱۷-۲۰۱۸,صفر کیلومتر,2018,"3,000,000,000",3000000000
کیا سراتو سایپا ۲ لیتری (آپشنال و ساده),صفر کیلومتر,نامشخص,"3,000,000,000",3000000000
اکستریم LX,صفر کیلومتر,نامشخص,"2,990,000,000",2990000000
هوندا CRV,کارکرده,نامشخص,"2,985,000,000",2985000000
هوندا آکورد مدل ۲۰۱۶-۲۰۱۷,کارکرده,نامشخص,"2,985,000,000",2985000000
تویوتا پرادو ۲ در مدل ۲۰۰۵-۲۰۰۹,کارکرده,نامشخص,"2,985,000,000",2985000000
مزدا ۳ نیو,صفر کیلومتر,نامشخص,"2,982,000,000",2982000000
گک امپو,صفر کیلومتر,نامشخص,"2,950,000,000",2950000000
ولوو C70,کارکرده,نامشخص,"2,935,000,000",2935000000
لوکانو L7,صفر کیلومتر,نامشخص,"2,930,000,000",2930000000
هاوال H6 مدل ۲۰۲۴,صفر کیلومتر,نامشخص,"2,890,000,000",2890000000
هیوندای کرتا,صفر کیلومتر,نامشخص,"2,890,000,000",2890000000
تویوتا راوفور مدل ۲۰۱۳-۲۰۱۵,کارکرده,نامشخص,"2,885,000,000",2885000000
فونیکس تیگو ۷ پرو هیبرید,صفر کیلومتر,نامشخص,"2,850,000,000",2850000000
سوزوکی جیمنی,صفر کیلومتر,2024,"2,850,000,000",2850000000
کامیون بنز ۱۹۲۴ شاسی باری و کمپرسی,صفر کیلومتر,1357,"2,850,000,000",2850000000
بنز E کلاس مونتاژ,کارکرده,نامشخص,"2,835,000,000",2835000000
فوتون تونلند اتوماتیک G7,صفر کیلومتر,نامشخص,"2,800,000,000",2800000000
گک امزوم GS3,صفر کیلومتر,نامشخص,"2,790,000,000",2790000000
هوندا آکورد مدل ۲۰۱۵,کارکرده,نامشخص,"2,785,000,000",2785000000
لکسوس ES مدل ۲۰۰۸-۲۰۱۲,کارکرده,نامشخص,"2,785,000,000",2785000000
بی ام و سری ۱ هاچبک مدل ۲۰۱۸-۲۰۱۷,کارکرده,نامشخص,"2,785,000,000",2785000000
کیا سراتو مونتاژ,صفر کیلومتر,2000,"2,750,000,000",2750000000
