نام خودرو,وضعیت,سال,قیمت (تومان),قیمت عددی
ام وی ام X33,کارکرده,نامشخص,"473,000,000",473000000
برلیانس H220,کارکرده,نامشخص,"473,000,000",473000000
ام وی ام ۵۵۰,کارکرده,نامشخص,"473,000,000",473000000
هیوندای ورنا,کارکرده,نامشخص,"468,000,000",468000000
پژو ۲۰۷ فیس قدیم,کارکرده,نامشخص,"463,000,000",463000000
پراید ۱۵۱,صفر کیلومتر,1401,"458,000,000",458000000
بایک سابرینا هاچبک,کارکرده,نامشخص,"458,000,000",458000000
پراید وانت,صفر کیلومتر,1401,"458,000,000",458000000
سورن ELX توربو,کارکرده,نامشخص,"452,000,000",452000000
شورولت بلیزر,کارکرده,نامشخص,"450,000,000",450000000
پژو پارس ELX XUM,کارکرده,نامشخص,"448,000,000",448000000
پراید ۱۱۱,صفر کیلومتر,نامشخص,"437,000,000",437000000
لیفان X50,کارکرده,نامشخص,"418,000,000",418000000
پراید ۱۵۱ آپشنال,صفر کیلومتر,1400,"417,000,000",417000000
پراید ۱۳۱ بنزینی,صفر کیلومتر,نامشخص,"410,000,000",410000000
پراید ۱۳۱,صفر کیلومتر,نامشخص,"410,000,000",410000000
ام وی ام ۳۱۵ صندوقدار,کارکرده,نامشخص,"408,000,000",408000000
ام وی ام ۳۱۵ جدید,کارکرده,نامشخص,"408,000,000",408000000
پاژن چهار در,کارکرده,1376,"400,000,000",400000000
شورولت ایمپالا,کارکرده,نامشخص,"400,000,000",400000000
فولکس واگن کدی,کارکرده,2007,"400,000,000",400000000
فاو ولا V5,کارکرده,نامشخص,"398,000,000",398000000
پراید,صفر کیلومتر,1411,"390,000,000",390000000
نیسان پاترول چهار در,کارکرده,1377,"388,000,000",388000000
مزدا ۳۲۳,کارکرده,نامشخص,"373,000,000",373000000
رنو تندر ۹۰ پارس خودرو,کارکرده,نامشخص,"373,000,000",373000000
پژو پارس اتوماتیک,صفر کیلومتر,نامشخص,"368,000,000",368000000
رنو تندر ۹۰ ایران خودرو,کارکرده,نامشخص,"368,000,000",368000000
تیبا صندوقدار پلاس,صفر کیلومتر,نامشخص,"365,000,000",365000000
بی وای دی F3 اتوماتیک,صفر کیلومتر,1397,"350,000,000",350000000
پروتون ایمپیان,کارکرده,نامشخص,"348,000,000",348000000
ساینا پلاس,صفر کیلومتر,1400,"345,000,000",345000000
نیسان پاترول دو در,کارکرده,نامشخص,"343,000,000",343000000
پژو ۲۰۶ صندوقدار V6,کارکرده,نامشخص,"338,000,000",338000000
سورن ELX,کارکرده,نامشخص,"333,000,000",333000000
سیتروئن زانتیا ۲ لیتری,کارکرده,نامشخص,"333,000,000",333000000
ام وی ام ۳۱۵,کارکرده,نامشخص,"328,000,000",328000000
ام وی ام ۳۱۵ مدل ۱۳۹۱-۱۳۹۳,کارکرده,نامشخص,"328,000,000",328000000
ام وی ام ۵۳۰,کارکرده,نامشخص,"323,000,000",323000000
سیتروئن زانتیا ۱.۸ لیتری,کارکرده,نامشخص,"318,000,000",318000000
سیتروئن زانتیا,کارکرده,نامشخص,"318,000,000",318000000
پژو پارس ELX موتور زانتیا,کارکرده,نامشخص,"313,000,000",313000000
کیا ریو مونتاژ,کارکرده,نامشخص,"308,000,000",308000000
پژو ۲۰۶ تیپ ۶ اتوماتیک,کارکرده,نامشخص,"298,000,000",298000000
رنو تندر۹۰ استیشن,کارکرده,نامشخص,"290,000,000",290000000
وانت پادرا,کارکرده,1396,"290,000,000",290000000
پژو ۲۰۶ صندوقدار V19,کارکرده,نامشخص,"288,000,000",288000000
فولکس واگن گل,کارکرده,نامشخص,"283,000,000",283000000
الدزمبیل کاتلاس,کارکرده,نامشخص,"280,000,000",280000000
کادیلاک سویل,کارکرده,نامشخص,"280,000,000",280000000
هوندا سیویک مدل ۱۹۹۲-۱۹۹۴,کارکرده,نامشخص,"270,000,000",270000000
سمند سریر,کارکرده,نامشخص,"268,000,000",268000000
آریسان,کارکرده,نامشخص,"268,000,000",268000000
سمند SE,کارکرده,نامشخص,"268,000,000",268000000
جک J3 سدان,کارکرده,نامشخص,"263,000,000",263000000
جک J3 هاچبک,کارکرده,نامشخص,"263,000,000",263000000
سورن,کارکرده,نامشخص,"263,000,000",263000000
تیبا صندوقدار دوگانه سوز,کارکرده,نامشخص,"263,000,000",263000000
ام وی ام  ۱۱۰S,کارکرده,نامشخص,"258,000,000",258000000
لیفان ۶۲۰,کارکرده,نامشخص,"258,000,000",258000000
پژو ۲۰۶ صندوقدار v2 دوگانه سوز,کارکرده,1386,"242,000,000",242000000
پژو ۲۰۶ صندوقدار V9 اتوماتیک,کارکرده,1386,"230,000,000",230000000
فیات سی ینا,کارکرده,نامشخص,"229,000,000",229000000
پروتون GEN2,کارکرده,نامشخص,"229,000,000",229000000
پژو ۲۰۶ صندوقدار V20,کارکرده,1386,"228,000,000",228000000
پژو ۴۰۵ GLI,کارکرده,نامشخص,"225,000,000",225000000
پراید ۱۳۲,کارکرده,نامشخص,"223,000,000",223000000
میتسوبیشی وانت L200,کارکرده,نامشخص,"220,000,000",220000000
سورن معمولی,کارکرده,نامشخص,"219,000,000",219000000
لیفان ۵۲۰,کارکرده,نامشخص,"219,000,000",219000000
لیفان ۵۲۰i,کارکرده,نامشخص,"219,000,000",219000000
دوو سیلو,کارکرده,نامشخص,"219,000,000",219000000
پژو ۲۰۶ صندوقدار V10,کارکرده,1387,"210,000,000",210000000
پژو ۲۰۶ صندوقدار V1,کارکرده,1386,"200,000,000",200000000
فولکس واگن بیتل مدل ۱۹۵۶-۱۹۷۶,کارکرده,نامشخص,"200,000,000",200000000
چری A15,کارکرده,نامشخص,"199,000,000",199000000
پژو روآ G2,کارکرده,نامشخص,"196,000,000",196000000
ون دلیکا,کارکرده,1385,"190,000,000",190000000
ون نارون,کارکرده,1386,"190,000,000",190000000
پراید هاچبک (نسیم),کارکرده,نامشخص,"189,000,000",189000000
پراید ۱۴۱,کارکرده,نامشخص,"189,000,000",189000000
پراید صبا,کارکرده,نامشخص,"184,000,000",184000000
بیوک b3,کارکرده,نامشخص,"180,000,000",180000000
سمند EL,کارکرده,نامشخص,"179,000,000",179000000
سمند معمولی,کارکرده,نامشخص,"174,000,000",174000000
سمند X7,کارکرده,نامشخص,"174,000,000",174000000
دوو ماتیز,کارکرده,نامشخص,"169,000,000",169000000
پراید ۱۳۲ بنزینی,کارکرده,نامشخص,"168,000,000",168000000
پژو روآ Roa,کارکرده,نامشخص,"167,000,000",167000000
پژو ۲۰۶ تیپ ۳,کارکرده,1382,"160,000,000",160000000
پژو ۲۰۶ تیپ ۴,کارکرده,1381,"160,000,000",160000000
جیپ آهو,کارکرده,1352,"160,000,000",160000000
ام وی ام ۱۱۰,کارکرده,نامشخص,"159,000,000",159000000
ام وی ام  ۱۱۰ چهار سیلندر,کارکرده,نامشخص,"159,000,000",159000000
پژو Rdi,کارکرده,نامشخص,"147,000,000",147000000
پراید ۱۳۲ دوگانه سوز,کارکرده,1387,"140,000,000",140000000
پژو RD,کارکرده,نامشخص,"137,000,000",137000000
پاژن دو در,کارکرده,1374,"130,000,000",130000000
جیپ km,کارکرده,نامشخص,"130,000,000",130000000
ون کاروان سایپا,کارکرده,1380,"130,000,000",130000000
پراید ۱۳۱ دوگانه سوز,کارکرده,1390,"130,000,000",130000000
پژو ۲۰۶ تیپ ۱,کارکرده,1380,"130,000,000",130000000
اوپل وکترا مدل ۱۹۹۴,کارکرده,نامشخص,"130,000,000",130000000
شورولت نوا,کارکرده,1357,"120,000,000",120000000
جیپ صحرا,کارکرده,1367,"110,000,000",110000000
پیکان وانت,کارکرده,نامشخص,"109,000,000",109000000
هافی لوبو,کارکرده,نامشخص,"101,000,000",101000000
جیپ شهباز,کارکرده,1353,"100,000,000",100000000
فولکس واگن گلف,کارکرده,نامشخص,"100,000,000",100000000
پژو ۲۰۵,کارکرده,1374,"100,000,000",100000000
اوپل آسترا سدان مدل ۱۹۹۴,کارکرده,نامشخص,"100,000,000",100000000
میتسوبیشی لنسر  مدل ۱۹۹۲-۱۹۹۳,کارکرده,نامشخص,"90,000,000",90000000
رنو پی کی,کارکرده,نامشخص,"90,000,000",90000000
اوپل کورسا مدل ۱۹۹۴,کارکرده,نامشخص,"80,000,000",80000000
دوو ریسر,کارکرده,نامشخص,"80,000,000",80000000
پژو ۵۰۴,کارکرده,نامشخص,"70,000,000",70000000
پژو روآ دوگانه سوز,کارکرده,1384,"70,000,000",70000000
پروتون ویرا,کارکرده,نامشخص,"64,000,000",64000000
پیکان,کارکرده,نامشخص,"61,000,000",61000000
پژو اردی دوگانه سوز,کارکرده,1379,"60,000,000",60000000
دوو اسپرو,کارکرده,نامشخص,"60,000,000",60000000
رنو ۵,کارکرده,1357,"50,000,000",50000000
پیکان دوگانه سوز,کارکرده,نامشخص,"45,000,000",45000000
سیتروئن ژیان,کارکرده,1352,"45,000,000",45000000
